cowcode,ccode,year,legis,newleg,date_h,year_h,month_h,date_s,p_h,p_s,g_h,g_s,coalition,enph,enps,c_h
160,ARG,1925,1,1,1924-03-02T00:00:00Z,1924,3,1925-03-01T00:00:00Z,0.0196078438311815,0.481481492519379,0.130718955770135,0.481481492519379,1,3.41487956047058,2.04201674461365,0.796388030052185
160,ARG,1926,1,1,1926-03-07T00:00:00Z,1926,3,1925-03-01T00:00:00Z,0.209459453821182,0.481481492519379,0.209459453821182,0.481481492519379,0,2.33867192268372,2.04201674461365,0.931161940097809
160,ARG,1927,1,0,1926-03-07T00:00:00Z,1926,3,1925-03-01T00:00:00Z,0.209459453821182,0.481481492519379,0.209459453821182,0.481481492519379,0,2.33867192268372,2.04201674461365,0.931161940097809
160,ARG,1928,1,1,1928-04-01T00:00:00Z,1928,4,1928-04-01T00:00:00Z,0.561290323734283,0.269230782985687,0.561290323734283,0.269230782985687,0,1.74943566322327,1.90960443019867,0.607779860496521
160,ARG,1929,1,0,1928-04-01T00:00:00Z,1928,4,1928-04-01T00:00:00Z,0.561290323734283,0.269230782985687,0.561290323734283,0.269230782985687,0,1.74943566322327,1.90960443019867,0.607779860496521
160,ARG,1930,1,1,1930-04-01T00:00:00Z,1930,4,1928-04-01T00:00:00Z,0.632911384105682,0.269230782985687,0.632911384105682,0.269230782985687,0,1.87671029567719,1.90960443019867,0.487341791391373
160,ARG,1931,0,0,,,,,,,,,,,,
160,ARG,1932,1,1,1931-11-01T00:00:00Z,1931,11,1931-11-01T00:00:00Z,0.133757963776588,0.300000011920929,0.6050955504179,0.866666682064533,1,3.137202501297,2.54237270355225,0.907925546169281
160,ARG,1933,1,0,1931-11-01T00:00:00Z,1931,11,1931-11-01T00:00:00Z,0.111842103302479,0.310344815254211,0.57236840762198,0.862068943679333,1,3.6789813041687,2.58769249916077,0.95225465297699
160,ARG,1934,1,1,1934-03-01T00:00:00Z,1934,3,1931-11-01T00:00:00Z,0.0974025949835777,0.300000011920929,0.577922065742314,0.800000011920929,1,3.50932240486145,2.54237270355225,0.91129994392395
160,ARG,1935,1,0,1934-03-01T00:00:00Z,1934,3,1935-04-01T00:00:00Z,0.0927152335643768,0.28571429848671,0.549668891355395,0.821428567171097,1,3.606041431427,2.37575769424438,0.914463460445404
160,ARG,1936,1,1,1936-03-01T00:00:00Z,1936,3,1935-04-01T00:00:00Z,0.0897435918450356,0,0.480769225396216,0.689655184745789,1,3.18951511383057,2.007159948349,0.892491340637207
